NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q14,q15,q16a,q16b,chasu,nat,city,sex,edu,job,age
19,2,4,6,5,5,5,5,5,5,8,4,4,5,5,5,4,4,12,7,5410,2,2,5,4
20,1,1,1,5,3,4,2,5,8,8,2,3,5,1,2,3,5,12,15,5057,2,2,10,5
21,2,2,1,4,4,4,4,4,4,4,4,4,4,5,4,4,5,12,4,402,2,3,1,2
22,1,1,6,5,5,4,4,5,5,4,2,5,5,5,5,3,5,12,16,5513,1,2,2,3
23,1,1,6,5,5,8,5,8,3,5,3,4,5,4,4,4,4,12,9,803,1,2,12,1
24,2,4,6,4,4,3,4,4,3,4,3,5,5,5,5,5,5,12,10,1002,1,3,2,3
25,2,2,6,4,4,5,5,5,5,5,4,4,5,5,5,3,5,12,8,609,1,2,6,4
26,2,3,6,5,5,5,5,4,8,8,5,4,5,4,3,4,4,12,9,832,1,2,5,4
27,1,1,6,5,4,5,5,4,8,8,5,4,5,5,5,4,4,12,11,1101,1,2,5,3
28,1,1,7,4,5,4,5,5,5,3,4,4,5,4,4,4,5,12,9,803,2,2,8,1
29,2,2,6,4,4,4,4,4,8,8,3,4,4,4,3,4,4,12,11,1101,1,2,5,4
30,1,1,6,4,4,4,5,8,2,3,5,3,5,3,4,5,5,12,11,1101,1,3,5,1
31,2,2,1,3,3,3,3,5,4,3,3,5,3,5,5,4,4,12,6,735,2,1,4,1
32,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,6,701,1,2,8,0
33,1,1,1,3,4,4,4,4,4,4,1,3,3,5,5,4,5,12,7,6035,2,2,1,1
34,2,4,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,12,3,401,2,3,7,4
35,2,4,6,1,3,3,3,4,4,4,3,3,5,4,4,3,4,12,3,401,1,2,7,2
36,1,1,7,4,4,4,4,4,5,3,3,4,5,4,4,4,4,12,13,1527,1,3,8,1
37,2,4,7,5,4,5,4,5,5,4,5,4,5,4,4,4,4,12,15,5540,1,2,8,0
38,1,1,1,5,4,5,4,5,5,5,5,4,5,2,4,3,5,12,10,1005,2,2,10,4
39,1,1,7,3,5,5,5,5,4,5,5,5,5,3,5,3,5,12,9,882,1,2,8,1
40,1,1,1,4,4,4,5,5,5,4,3,3,4,4,5,5,5,12,4,402,2,2,1,3
41,2,3,1,4,4,4,4,4,5,4,3,4,5,4,4,4,4,12,4,402,1,3,7,3
42,2,3,1,2,5,5,5,5,5,5,5,4,5,5,4,5,5,12,4,402,1,3,2,3
43,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4,3,4,12,4,402,2,4,9,3
44,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,12,15,5152,1,1,2,4
45,1,1,6,5,5,4,3,5,5,5,1,3,5,3,4,3,5,12,15,6474,2,2,3,1
46,1,1,1,5,5,5,5,5,5,5,4,3,5,5,5,4,5,12,14,1707,2,2,8,1
47,1,1,1,5,4,5,5,4,4,5,5,4,5,5,5,4,5,12,9,816,1,2,4,0
48,1,1,6,5,5,5,4,4,5,5,2,2,5,5,5,4,5,12,11,1102,2,3,7,3
49,1,1,7,4,4,3,5,4,4,5,4,3,4,5,5,3,4,12,15,5765,1,1,8,0
50,1,1,7,4,4,4,4,4,4,4,4,5,5,5,5,3,5,12,9,819,1,2,8,1
51,1,1,1,4,5,4,5,5,4,4,3,3,5,2,4,3,5,12,11,1214,2,3,8,1
52,1,1,6,3,4,5,3,3,3,3,3,3,2,3,4,3,4,12,11,1272,2,3,12,1
53,1,1,1,4,4,5,4,5,5,5,5,4,5,3,4,5,5,12,6,701,1,2,3,1
54,1,1,1,4,5,5,4,5,5,5,4,4,4,5,5,4,5,12,6,701,2,2,5,1
55,1,1,1,5,4,5,3,5,4,4,4,4,4,4,3,3,4,12,6,701,2,1,4,1
56,2,3,1,4,3,4,4,3,4,4,3,3,4,4,4,5,5,12,3,401,1,2,3,2
57,2,4,4,2,5,5,5,5,4,4,4,5,4,5,5,4,5,12,3,401,2,2,12,3
58,2,2,7,5,5,4,4,5,4,5,4,4,5,5,4,4,4,12,13,1550,1,3,8,1
59,2,3,4,4,4,5,5,5,3,2,3,3,5,5,5,5,4,12,3,401,2,3,3,1
60,1,1,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,12,9,873,1,3,5,1
61,2,2,6,4,5,5,4,5,5,5,4,4,5,5,5,4,5,12,16,6296,1,2,2,1
62,1,1,6,4,5,4,2,4,5,5,2,1,5,4,3,3,5,12,16,6296,1,3,5,2
63,2,4,6,3,4,5,5,5,5,8,5,5,5,3,5,4,5,12,15,5679,1,2,12,1
64,1,1,1,4,5,4,5,5,5,4,4,5,4,3,5,4,4,12,9,840,2,2,5,1
65,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,15,5037,2,1,9,2
66,1,1,6,5,4,5,5,8,5,8,3,5,5,5,5,4,5,12,9,813,2,2,5,1
67,1,1,1,4,5,4,5,4,4,5,4,3,4,3,4,4,4,12,7,5325,2,1,8,0
68,1,1,1,5,5,5,4,4,5,5,3,4,5,4,4,4,5,12,7,5164,1,2,7,4
69,1,1,4,5,5,5,3,5,5,5,3,4,5,4,4,4,4,12,7,5001,2,2,11,0
70,1,1,7,5,5,4,4,4,5,5,3,5,5,5,5,4,5,12,9,820,1,3,1,2
71,1,1,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,12,97,5632,2,2,5,2
72,1,1,6,4,5,4,4,5,5,4,4,5,4,1,2,2,3,12,9,897,2,3,3,1
73,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,12,10,1001,1,2,4,1
74,1,1,7,5,5,5,5,4,5,4,3,3,5,5,5,4,5,12,97,5856,2,2,8,1
75,1,1,5,5,4,5,3,8,4,4,3,4,5,5,4,3,3,12,16,6296,1,3,5,2
76,2,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,12,8,601,1,3,5,2
77,2,3,7,5,5,5,5,8,4,5,5,5,5,4,4,4,4,12,8,601,1,2,12,1
78,2,4,1,5,5,5,5,5,5,5,3,5,5,5,5,4,5,12,3,401,2,2,12,2
79,2,2,1,4,4,5,3,4,4,4,3,3,4,4,4,3,4,12,3,401,1,2,5,2
80,1,1,7,5,5,5,5,5,5,4,4,5,5,5,5,4,5,12,9,850,2,2,8,1
81,1,1,7,4,5,5,3,4,5,4,4,4,5,5,5,4,5,12,97,5009,2,2,4,1
82,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,15,5536,2,2,1,1
83,1,1,7,3,5,4,4,4,5,4,1,3,5,1,5,5,5,12,15,5536,1,1,8,0
84,1,1,6,2,3,4,5,4,3,2,1,3,3,4,4,4,4,12,15,5020,1,1,8,0
85,2,4,7,5,5,5,5,5,4,3,4,2,5,5,5,3,5,12,15,5210,1,2,8,0
86,1,1,1,4,5,4,3,3,4,5,2,3,5,3,3,3,3,12,7,5001,2,3,7,1
87,1,1,1,5,5,5,4,4,5,4,3,4,4,2,4,5,5,12,6,739,1,3,8,1
88,1,1,1,4,4,5,4,5,5,4,3,3,5,5,5,3,5,12,6,731,2,2,8,1
89,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,12,7,5001,1,3,5,2
90,2,2,6,4,5,5,5,5,4,4,3,5,5,5,5,4,5,12,13,1501,2,3,5,1
91,1,1,4,5,4,5,4,5,4,3,4,4,4,4,4,4,4,12,8,603,2,2,8,1
92,2,3,1,3,4,5,5,4,3,3,3,3,4,4,4,4,4,12,4,402,1,2,5,1
93,1,1,1,4,5,4,4,5,4,5,4,3,5,4,5,4,5,12,4,402,2,2,12,1
94,2,2,4,4,4,5,4,5,5,5,5,4,5,4,4,4,5,12,4,402,2,2,3,1
95,1,1,5,3,5,5,5,5,5,5,4,5,5,4,4,3,5,12,9,904,2,3,5,1
96,1,1,1,5,5,5,5,3,5,5,2,4,4,4,5,4,5,12,15,5539,1,2,6,1
97,2,2,6,5,5,8,1,5,3,3,1,1,5,5,5,3,3,12,97,5150,1,3,5,1
98,1,1,6,5,4,4,4,4,4,4,3,4,5,5,5,5,5,12,8,605,1,2,7,3
99,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,12,8,605,2,2,4,1
100,2,2,4,5,5,4,5,5,5,5,4,4,5,5,4,5,5,12,6,701,2,2,3,1
101,2,2,1,3,5,4,5,5,4,4,2,3,4,4,3,3,5,12,6,701,2,3,3,1
102,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4,4,5,12,6,702,1,3,1,3
103,1,1,1,5,5,5,4,5,5,5,3,3,5,5,5,5,5,12,4,402,1,2,1,3
104,1,1,1,4,4,4,4,5,4,4,4,3,4,4,4,4,4,12,7,5001,1,3,4,3
105,1,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,12,7,5001,2,1,7,4
106,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,8,608,2,3,8,1
107,2,2,5,4,3,4,4,5,4,5,4,3,5,3,3,4,4,12,14,1702,1,3,3,2
108,1,1,7,5,5,5,5,5,5,4,3,5,5,5,4,3,5,12,14,1701,2,1,9,1
109,2,2,1,4,4,3,4,4,3,3,4,3,3,4,4,4,4,12,3,401,1,4,4,1
110,2,4,5,4,4,4,3,4,4,3,3,3,4,5,4,4,4,12,3,401,2,1,5,4
111,2,3,1,4,4,4,4,4,5,5,5,5,5,4,4,4,4,12,3,401,2,2,4,1
112,2,2,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,11,1101,1,3,5,2
113,2,4,6,4,5,5,3,4,5,5,4,4,5,5,4,5,5,12,11,1102,1,2,6,3
114,1,1,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,12,4,402,2,1,4,1
115,2,4,6,3,5,4,4,4,8,8,2,3,5,5,5,4,4,12,97,5089,1,2,2,3
116,2,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,8,613,1,2,5,3
117,1,1,7,5,5,5,5,4,5,5,3,5,5,5,5,5,5,12,10,1010,1,2,7,1
118,2,4,6,4,4,5,4,8,4,2,2,3,4,5,3,4,4,12,15,5073,1,3,2,2
119,2,2,4,4,5,4,3,4,3,4,3,3,5,3,4,3,4,12,10,1002,2,2,1,1
120,1,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,15,5073,1,2,6,2
121,1,1,7,4,5,5,5,5,4,4,5,5,5,5,5,5,5,12,9,825,2,2,8,1
122,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,4,5,12,9,831,2,2,3,1
123,1,1,6,4,4,4,5,5,4,3,2,4,5,5,5,3,5,12,8,601,2,1,7,0
124,1,1,1,4,4,5,4,5,5,2,2,5,5,3,5,3,4,12,11,1123,1,3,7,1
125,1,1,7,5,5,5,5,5,5,5,4,4,5,5,5,4,5,12,11,1101,1,2,8,0
126,1,1,1,5,5,4,5,8,5,5,5,5,5,5,5,3,5,12,11,1101,2,3,5,2
127,1,1,1,5,5,5,5,5,5,2,1,4,5,3,5,4,5,12,8,603,2,2,8,1
128,1,1,1,4,4,4,5,4,4,5,4,3,5,4,4,4,5,12,4,402,1,2,3,2
129,1,1,1,4,4,4,4,5,4,3,4,4,4,4,4,4,4,12,3,401,2,3,3,1
130,1,1,1,2,3,5,5,5,3,3,3,4,5,3,3,3,3,12,3,401,2,1,3,2
131,1,1,1,4,3,4,5,4,4,4,4,4,5,4,4,4,4,12,3,401,1,1,6,1
132,1,1,6,5,5,5,5,5,4,4,3,4,5,4,4,3,5,12,16,5513,1,3,7,2
133,2,2,6,4,5,4,3,3,3,4,3,4,4,3,3,3,3,12,16,6296,1,3,2,2
134,1,1,7,4,5,3,4,4,4,3,2,3,4,4,4,3,4,12,97,5158,2,2,8,0
135,2,4,6,5,5,4,3,3,3,5,3,3,5,5,5,4,4,12,97,5809,1,2,5,2
136,2,4,6,5,4,4,4,4,3,3,3,3,5,4,4,4,4,12,12,1306,1,2,3,3
137,2,4,6,4,4,4,4,8,3,3,2,3,3,4,4,4,4,12,12,1309,1,2,3,2
138,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,12,7,5001,2,2,1,2
139,1,1,1,3,2,4,3,4,4,4,3,3,4,4,4,4,4,12,7,5164,1,2,8,1
140,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,6,715,2,2,3,1
141,1,1,1,2,4,5,3,4,5,4,5,3,5,5,4,5,4,12,6,715,2,2,7,1
142,2,2,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,12,6,701,1,2,2,1
143,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,6,701,1,3,1,1
144,2,4,6,5,5,4,4,4,5,4,3,4,5,4,4,4,5,12,10,1002,2,3,9,2
145,1,1,1,4,5,4,5,5,3,4,5,5,5,3,4,4,4,12,10,1002,2,3,1,1
146,1,1,1,4,5,8,5,5,4,5,5,5,5,3,5,3,5,12,10,1006,1,2,5,1
147,1,1,7,4,5,5,3,4,5,5,5,3,5,4,3,3,3,12,10,1002,1,1,8,0
148,1,1,7,5,4,4,3,4,4,3,2,4,5,3,3,3,4,12,9,803,1,3,8,2
149,1,1,7,4,5,4,5,5,5,5,4,4,4,5,5,4,5,12,9,934,2,2,8,1
150,1,1,7,4,5,4,5,5,5,4,4,3,5,4,5,3,4,12,11,1179,2,2,8,0
151,2,2,6,4,5,4,4,3,4,4,4,4,5,4,4,4,5,12,97,5042,1,2,6,2
152,1,1,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,12,9,805,1,2,1,2
153,1,1,6,4,4,4,5,4,4,4,3,3,4,4,4,2,4,12,12,1311,1,2,3,4
154,2,2,6,5,4,5,5,5,4,8,3,3,4,5,5,5,5,12,97,5011,1,3,2,2
155,1,1,5,4,4,4,2,3,4,4,2,2,5,4,3,3,3,12,97,5008,2,2,5,2
156,2,4,6,4,3,5,5,3,5,4,3,3,4,5,5,4,4,12,14,1701,1,2,5,2
157,1,1,6,5,4,5,4,5,5,4,4,4,5,4,4,4,5,12,14,1701,1,3,2,1
158,1,1,7,5,5,5,3,5,5,4,3,5,5,5,4,4,5,12,14,1702,1,2,8,1
159,1,1,1,4,5,4,5,8,5,5,5,5,5,4,4,5,5,12,14,1743,1,2,4,1
160,2,2,6,5,5,5,5,3,3,5,2,4,5,5,4,5,4,12,12,1304,1,1,3,1
161,1,1,6,5,4,5,4,5,5,5,3,3,5,4,4,4,5,12,14,1709,2,2,2,1
162,1,1,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,12,6,701,2,1,8,0
163,1,1,6,5,5,5,5,5,8,8,3,4,5,5,5,5,5,12,9,840,1,2,2,2
164,2,2,6,2,4,4,5,4,3,3,2,4,5,5,5,3,5,12,97,5068,1,3,4,3
165,1,1,6,5,3,4,4,8,4,4,4,3,4,4,4,3,5,12,9,811,1,2,2,3
166,1,1,6,4,4,4,4,4,4,4,4,4,4,4,4,3,4,12,9,821,1,3,4,3
167,1,1,7,4,5,5,5,5,5,4,4,5,5,3,5,5,5,12,9,824,2,2,8,0
168,1,1,7,5,5,5,5,4,5,5,4,4,5,5,5,5,5,12,97,5150,2,2,8,1
169,1,1,1,5,4,5,4,5,5,3,3,5,5,5,5,5,5,12,10,1001,2,3,2,3
170,1,1,7,3,4,5,4,5,5,5,4,4,5,5,5,5,4,12,97,5028,2,2,8,0
171,1,1,1,5,4,5,5,5,5,5,5,4,5,4,5,4,5,12,97,5009,2,2,8,1
172,1,1,1,3,4,4,4,3,4,4,4,3,3,3,4,4,4,12,1,2,1,2,4,4
173,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,12,1,3,1,2,3,4
174,2,3,1,4,3,4,4,4,4,3,4,3,4,3,4,4,3,12,1,31,2,2,6,1
175,2,3,1,4,4,4,4,4,4,4,4,3,4,3,4,4,4,12,1,107,2,2,4,2
176,1,1,1,3,3,4,4,4,4,3,4,3,4,4,4,4,4,12,1,55,1,2,6,2
177,1,1,1,4,3,4,4,4,4,4,4,4,4,3,4,4,4,12,1,1,1,1,7,5
178,2,3,1,3,3,4,4,4,3,4,3,3,3,4,4,4,4,12,1,129,2,2,5,2
179,1,1,1,3,3,4,4,4,3,3,3,3,3,3,4,4,4,12,1,1,1,1,6,4
180,2,2,1,3,3,4,4,4,4,4,3,3,4,3,4,4,4,12,1,77,1,2,7,2
181,1,1,1,3,4,4,4,4,4,4,3,4,3,3,4,3,4,12,1,3,1,1,7,4
182,2,3,1,3,4,4,4,4,4,4,4,3,4,3,4,3,4,12,1,20,2,2,3,1
183,1,1,1,3,3,4,4,3,4,3,3,3,3,3,4,4,4,12,1,3,1,1,7,4
184,2,2,1,3,3,5,4,4,4,3,4,3,3,3,5,3,4,12,1,47,1,3,5,1
185,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,1,21,2,2,7,3
186,1,1,1,3,3,4,4,4,4,4,4,4,4,3,5,4,4,12,1,68,2,2,8,1
187,2,2,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,12,1,129,2,2,5,2
188,1,1,1,4,4,4,4,4,4,4,4,3,4,3,5,4,4,12,1,15,2,2,9,4
189,1,1,1,4,3,5,5,3,5,3,4,3,4,4,4,4,4,12,1,107,2,2,11,2
190,2,2,1,4,4,4,4,3,4,3,3,3,4,3,4,4,4,12,1,35,1,2,3,1
191,1,1,1,4,3,4,4,4,4,4,4,3,4,3,4,4,4,12,1,8,1,2,3,4
192,2,4,5,4,4,5,5,4,5,4,4,4,4,5,5,5,5,12,1,3,2,2,4,2
193,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,1,2,2,1,8,0
194,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,1,2,1,2,6,4
195,1,1,1,4,3,4,4,4,4,3,4,3,4,5,5,4,4,12,1,17,2,2,3,1
196,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,12,1,115,1,2,7,3
197,1,1,1,5,5,5,4,4,5,5,5,5,5,5,4,5,4,12,2,203,1,2,3,2
198,1,1,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,2,235,2,2,8,1
199,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,3,401,2,2,4,2
200,1,1,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,12,3,401,1,2,7,2
201,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,501,2,2,4,1
202,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,12,5,501,2,2,8,0
203,1,1,1,5,5,4,5,5,4,4,4,5,5,5,4,4,4,12,6,701,1,2,4,2
204,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,502,1,2,4,1
205,1,1,1,5,4,4,4,5,5,5,5,5,5,5,5,5,5,12,9,816,1,2,2,3
206,1,1,1,5,5,4,4,4,4,5,5,4,5,5,4,5,4,12,7,5001,1,2,4,3
207,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,6,701,2,2,7,2
208,1,1,1,5,5,5,5,5,5,4,4,4,5,5,4,5,5,12,3,401,1,2,4,2
209,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,502,2,2,9,2
210,1,1,1,5,5,5,4,5,5,5,5,4,5,5,5,5,5,12,9,803,2,2,9,3
211,1,1,1,5,5,5,4,4,5,5,5,4,4,5,4,5,4,12,2,202,1,2,3,2
212,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,501,2,2,7,3
213,1,1,1,5,4,4,4,5,5,5,4,5,4,4,4,4,4,12,6,701,1,2,3,1
214,1,1,1,5,5,5,5,4,5,4,4,4,4,5,5,4,5,12,6,701,2,2,8,1
215,1,1,1,5,5,5,4,5,4,4,5,5,4,5,4,5,4,12,5,501,2,2,9,2
216,1,1,1,5,5,5,4,4,5,5,5,5,5,5,4,4,4,12,2,202,1,2,4,2
217,1,1,1,5,4,4,4,4,5,5,4,4,4,4,4,4,4,12,3,401,2,2,8,1
218,1,1,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,12,7,5001,1,2,8,3
219,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,501,1,2,8,1
220,1,1,1,5,5,5,5,4,5,5,5,4,4,5,4,5,4,12,5,501,2,2,7,2
221,1,1,1,5,5,5,4,4,4,5,5,5,5,5,4,5,4,12,3,401,2,2,8,1
222,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,501,2,2,3,2
223,1,1,7,4,4,4,4,5,4,4,4,3,4,4,5,5,5,12,2,214,2,2,8,1
224,1,1,1,5,4,5,5,5,5,4,4,5,4,5,4,5,4,12,3,401,2,2,8,1
225,1,1,1,5,5,5,5,5,4,4,5,5,5,5,5,5,4,12,5,501,2,1,9,4
226,1,1,1,5,5,5,4,5,5,5,5,5,5,5,4,5,4,12,5,501,1,2,8,1
227,1,1,1,5,5,4,4,5,5,5,4,4,4,5,4,5,4,12,7,5001,2,2,9,3
228,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,14,1701,2,2,3,1
229,1,1,1,5,5,4,4,5,5,5,4,4,4,5,4,4,4,12,7,5001,2,2,9,2
230,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,4,12,3,401,2,2,9,2
231,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,5,501,2,1,9,2
232,1,1,1,5,5,4,4,4,5,5,5,4,4,5,5,5,4,12,5,501,1,2,7,2
233,1,1,1,5,5,4,4,5,5,5,4,4,4,5,4,5,4,12,5,501,2,2,8,1
234,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,4,5,12,10,1002,1,2,2,2
235,2,4,1,4,5,5,5,5,5,5,4,5,5,5,5,5,5,12,3,401,2,1,9,3
236,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3,401,2,2,12,1
237,1,1,1,4,4,4,5,5,5,5,5,5,4,5,5,3,5,12,3,401,2,1,3,1
238,1,1,6,4,4,4,4,8,4,4,4,4,5,4,4,3,4,12,97,5017,1,2,5,1
239,2,2,1,5,4,4,5,4,4,4,3,4,4,5,5,3,5,12,3,401,1,1,6,2
240,2,2,6,4,4,3,4,4,4,3,3,3,3,4,4,4,4,12,12,1443,1,2,2,1
241,2,3,6,4,4,4,4,8,8,8,3,3,4,4,4,4,4,12,11,1101,1,3,3,1
242,1,1,7,5,5,5,4,5,5,3,3,3,5,5,5,5,5,12,97,5506,2,1,8,1
243,1,1,1,4,4,3,3,4,3,2,3,3,4,4,5,4,4,12,4,402,1,2,2,3
244,1,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,12,97,5005,2,2,5,1
245,1,1,7,5,4,4,4,4,4,4,3,4,5,4,4,4,5,12,13,1501,1,2,8,0
246,2,4,6,5,5,5,5,5,5,5,2,5,5,5,3,5,5,12,16,5513,1,3,2,3
247,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,5,5,12,8,601,1,3,5,3
248,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,12,1,18,2,1,8,0
249,2,3,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,12,1,1,2,2,8,1
250,2,4,6,3,3,3,4,8,8,8,2,3,3,2,3,3,3,12,1,7,2,3,3,2
251,2,4,1,4,4,5,5,5,3,4,4,5,5,5,4,4,4,12,1,1,2,2,4,1
252,1,1,7,5,5,4,4,5,4,4,3,5,5,5,5,3,5,12,12,1304,2,3,8,1
253,2,4,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,12,1,1,2,2,8,1
254,1,1,1,3,3,3,4,4,4,4,4,5,4,4,4,5,5,12,1,1,1,2,8,1
255,1,1,1,4,4,4,4,4,4,4,4,4,4,5,4,3,4,12,1,1,1,2,8,1
256,1,1,1,4,5,5,5,5,2,5,2,5,4,5,5,1,5,12,1,1,1,2,2,1
257,1,1,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,4,402,2,2,8,1
258,2,2,1,3,4,4,5,5,5,5,5,5,3,5,5,5,5,12,1,1,1,2,8,1
259,1,1,1,2,4,4,5,4,4,3,5,5,4,5,5,3,5,12,1,7,2,2,8,1
260,1,1,1,5,5,3,4,4,5,5,5,5,5,5,5,5,5,12,1,10,2,2,8,0
261,2,2,4,3,3,3,5,4,4,4,4,4,3,4,3,3,4,12,1,1,1,2,8,0
262,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,12,1,1,1,2,8,1
263,2,4,6,5,5,5,4,8,8,5,4,4,4,5,4,4,4,12,1,3,1,2,2,1
264,1,1,1,4,5,4,5,5,5,5,4,5,5,5,5,4,4,12,6,701,2,3,8,1
265,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,7,5001,1,2,5,1
266,1,1,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,12,6,701,2,3,1,1
267,2,4,1,3,3,3,3,4,3,3,4,2,5,4,4,4,4,12,6,701,1,3,3,2
268,2,4,1,4,4,5,4,4,4,5,3,3,5,4,4,5,5,12,7,5548,1,3,3,1
269,2,4,1,4,5,3,5,4,8,5,4,5,3,5,4,4,5,12,1,1,2,2,8,0
270,2,4,7,3,4,4,3,4,3,3,3,4,3,5,4,3,3,12,1,50,2,2,8,1
271,2,4,7,3,4,3,5,8,3,3,3,3,3,5,3,2,4,12,1,1,1,2,5,3
272,1,1,7,4,5,5,3,3,5,5,4,2,5,4,4,3,4,12,14,1703,2,1,8,0
273,1,1,5,5,5,5,4,8,4,4,4,4,4,3,4,4,4,12,12,1301,1,3,5,4
